Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Fig dried,Dried fruits,249,30,47.9,1.2,162,63.9,3.3,10,0.36,0.287,2.03,68,67,680,0.66,0.92,0.144,9.8
Mango dried,Dried fruits,319,16.6,66.27,42.3,0,78.58,2.45,162,4.02,0.3,0.23,20,50,279,0.3,1.18,0.287,2.4
Peach dried,Dried fruits,239,31.8,41.74,4.8,28,61.33,3.61,7,0.19,0.364,4.06,42,119,996,0.57,0.76,0.082,8.2
Pear dried,Dried fruits,262,26.69,62.2,7,34,69.7,1.87,6,0.06,0.371,2.1,33,59,533,0.39,0.63,0.035,7.5
Persimmon dried,Dried fruits,366,0.86,80.06,4,22,96.07,1.54,3,1.94,0.303,0.42,24,45,429,0.3,0.66,0.053,9.6
Pineapple dried,Dried fruits,313,15.95,72.94,25.4,35,81.54,1.43,3,0.05,0.295,0.79,32,21,290,0.32,0.47,0.024,3.7
Prune dried,Dried fruits,240,30.92,38.13,0.6,43,63.88,2.18,2,0.43,0.281,0.93,41,69,732,0.44,0.38,0.088,7.1
Raisins,Dried fruits,299,15.46,65.18,2.3,62,79.32,3.3,26,0.12,0.272,1.79,36,98,744,0.36,0.25,0.094,4.5
Tamarind dried,Dried fruits,254,28.26,44.9,0.6,67,66.21,2.52,25,0.09,0.078,2.52,83,102,565,0.09,0.57,0.245,4.6
Currants dried,Dried fruits,290,17.6,62.28,4.7,88,76.98,3.43,43,0.11,0.298,1.88,36,99,777,0.37,0.22,0.085,4.4
Papaya dried,Dried fruits,295,21.42,67.55,32.4,54,75.43,1.25,22,0.8,0.123,0.69,56,27,484,0.22,0.84,0.215,4.5
Grapes ,Grapes,69,80.54,15.48,3.2,10,18.1,0.72,2,0.19,0.127,0.36,7,20,191,0.07,0.16,0.054,0.9
Cassaba melon ,Melons,28,91.85,5.69,21.8,11,6.58,1.11,9,0.05,0.06,0.34,11,5,182,0.07,0.1,0.025,0.9
Honeydew melon ,Melons,36,89.82,8.12,18,6,9.09,0.54,18,0.02,0.024,0.17,10,11,228,0.09,0.14,0.038,0.8
Cantaloupe ,Melons,34,90.2,7.88,10.9,9,8.16,0.82,30,0.05,0.085,0.38,13,17,157,0.44,0.18,0.051,0.8
Watermelon ,Melons,30,91.45,6.2,8.1,7,7.55,0.61,1,0.05,0.042,0.24,10,11,112,0.1,0.15,0.016,0.4
Mustard greens ,Other dark green vegetables,27,90.7,1.32,70,115,4.67,2.86,20,2.01,0.165,1.64,32,58,384,0.25,0.42,0.01,3.2
Chard ,Other dark green vegetables,19,92.66,1.1,30,51,3.74,1.8,213,1.89,0.179,1.8,81,46,379,0.36,0.2,0.03,1.6
Collards ,Other dark green vegetables,32,89.62,0.46,35.3,232,5.42,3.02,17,2.26,0.046,0.47,27,25,213,0.21,0.61,0.055,4
Cress ,Other dark green vegetables,32,89.4,4.4,69,81,5.5,2.6,14,0.7,0.17,1.3,38,76,606,0.23,0.7,0.023,1.1
Dandelion greens ,Other dark green vegetables,45,85.6,0.71,35,187,9.2,2.7,76,3.44,0.171,3.1,36,66,397,0.41,0.7,0.17,3.5
Beet greens ,Other dark green vegetables,22,91.02,0.5,30,117,4.33,2.2,226,1.5,0.191,2.57,70,41,762,0.38,0.13,0.02,3.7
Kale ,Other dark green vegetables,35,89.6,0.8,93.4,254,4.42,2.92,53,0.66,0.053,1.6,33,55,348,0.39,1.49,0.178,4.1
Watercress ,Other dark green vegetables,11,95.11,0.2,43,120,1.29,2.3,41,1,0.077,0.2,21,60,330,0.11,0.1,0.027,0.5
Pepper sweet red ,Other red and orange vegetables,26,92.21,4.2,127.7,7,6.03,0.99,4,1.58,0.017,0.43,12,26,211,0.25,0.3,0.059,2.1
Winter squash ,Other red and orange vegetables,26,91.6,2.76,9,21,6.5,1,1,1.06,0.127,0.8,12,44,340,0.32,0.1,0.052,0.5
Fufu,Other starchy vegetables,166,60.65,1.09,11.1,31,33.59,1.5,144,1.66,0.142,0.43,28,58,449,0.3,2.98,0.835,3.1
Poi,Other starchy vegetables,120,68.43,0.43,4.1,46,28.45,1.61,12,2.56,0.185,0.59,35,90,635,0.25,0.22,0.044,4.4
Water Chesnut,Other starchy vegetables,78,78.78,3.84,2,6,19.22,1.38,12,0.78,0.156,1.36,8,30,184,0.59,0.09,0.025,3.9
Green peas ,Other starchy vegetables,81,78.86,5.67,40,25,14.45,5.42,5,0.13,0.176,1.47,33,108,244,1.24,0.4,0.071,5.7
Ripe plantain ,Other starchy vegetables,122,65.2,17.51,18.4,3,31.89,1.3,4,0,0.074,0.55,36,32,487,0.19,0.35,0,1.7
Artichoke ,Other vegetables and combinations,53,84.08,0.99,7.4,21,11.95,2.89,60,0.19,0.127,0.61,42,73,286,0.4,0.34,0.079,5.7
Asparagus ,Other vegetables and combinations,20,93.22,1.88,5.6,24,3.88,2.2,2,1.13,0.189,2.14,14,52,202,0.54,0.12,0.04,2.1
Bean sprouts ,Other vegetables and combinations,30,90.4,4.13,13.2,13,5.94,3.04,6,0.1,0.164,0.91,21,54,149,0.41,0.18,0.046,1.8
Beets ,Other vegetables and combinations,43,87.58,6.76,4.9,16,9.56,1.61,78,0.04,0.075,0.8,23,40,325,0.35,0.17,0.027,2.8
Broccoflower ,Other vegetables and combinations,31,89.79,3.03,88.1,33,6.09,2.95,23,0.04,0.041,0.73,20,62,300,0.64,0.3,0.047,3.2
Alfalfa sprouts ,Other vegetables and combinations,23,92.82,0.2,8.2,32,2.1,3.99,6,0.02,0.157,0.96,27,70,79,0.92,0.69,0.069,1.9
Brussels sprouts ,Other vegetables and combinations,43,86,2.2,85,42,8.95,3.38,25,0.88,0.07,1.4,23,69,389,0.42,0.3,0.062,3.8
Cauliflower ,Other vegetables and combinations,25,92.07,1.91,48.2,22,4.97,1.92,30,0.08,0.039,0.42,15,44,299,0.27,0.28,0.13,2
Celery ,Other vegetables and combinations,14,95.43,1.34,3.1,40,2.97,0.69,80,0.27,0.035,0.2,11,24,260,0.13,0.17,0.042,1.6
Fennel bulb ,Other vegetables and combinations,31,90.21,3.93,12,49,7.3,1.24,52,0.58,0.066,0.73,17,50,414,0.2,0.2,0.09,3.1
Cucumber ,Other vegetables and combinations,15,95.23,1.67,2.8,16,3.63,0.65,2,0.03,0.041,0.28,13,24,147,0.2,0.11,0.037,0.5
Eggplant ,Other vegetables and combinations,25,92.3,3.53,2.2,9,5.88,0.98,2,0.3,0.081,0.23,14,24,229,0.16,0.18,0.034,3
