Food_description,Food_type,Calcium (mg),Carbohydrate (g),Cholesterol,Copper (mg),Energy (kcal),Saturated_fat (g),Fiber total dietary (g),Glucose (g),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Protein (g),Sodium (mg),Starch (g),Sucrose (g),Sugar (g),Total Fat (g),Vitamin C (mg),Vitamin D (ug),Vitamin E (mg),Water (g),Zinc (mg)
Blackberries,Berries,58,19.22,0,0.33,267,0.028,10.6,2.31,1.24,40,44,324,2.78,2,0,0.07,9.76,0.98,42,0,2.34,176.3,1.06
Blueberries,Berries,12,28.98,0,0.114,354,0.056,4.8,4.88,0.56,12,24,154,1.48,2,0.03,0.11,19.92,0.66,19.4,0,1.14,168.42,0.32
Borage,Herb,93,3.06,0,0.13,109,0.17,0,0,3.3,52,53,470,1.8,80,0,0,0,0.7,35,0,0,93,0.2
Boysenberries,Berries,29,9.61,0,0.165,43,0.014,5.3,0,0.62,20,22,162,1.39,1,0,0,4.88,0.49,21,0,1.17,88.15,0.53
Breadfruit,Fruits,17,27.12,0,0.084,534,0.048,4.9,0,0.54,25,30,490,1.07,2,0,0,11,0.23,29,0,0.1,70.65,0.12
Broccoflower,Vegetables,33,6.09,0,0.041,31,0.047,3.2,0,0.73,20,62,300,2.95,23,0,0,3.03,0.3,88.1,0,0.04,89.79,0.64
Broccoli,Vegetables,140,19.55,0,0.157,372,0.192,7.6,1.07,2.15,63,199,935,8.21,102,0,0.11,3.4,1.08,269.7,0,1.71,268.6,1.24
Cabbage,Vegetables,40,5.8,0,0.019,128,0.034,2.5,1.67,0.47,12,26,170,1.28,18,0,0.08,3.2,0.1,36.6,0,0.15,92.18,0.18
Cactus,Vegetables,164,3.33,0,0.052,16,0.016,2.2,0,0.59,52,16,257,1.32,21,0,0,1.15,0.09,9.3,0,0,94.12,0.25
Calamondin,Citrus fruits,37,13.34,0,0.042,53,0.039,1.8,0,0.15,12,20,166,0.81,2,0,0,10.58,0.31,26.7,0,0.2,85.17,0.07
Cantaloupe,Melon,9,8.16,0,0.041,34,0.051,0.9,0,0.21,12,15,267,0.84,16,0,0,7.86,0.19,36.7,0,0.05,90.15,0.18
Cardoon,Herb,70,4.07,0,0.231,88,0.011,1.6,0,0.7,42,23,400,0.7,170,0,0,0,0.1,2,0,0,94,0.17
Carrots,Root Vegetables,66,19.16,0,0.09,255,0.069,5.6,0.59,0.6,24,70,640,1.86,138,1.43,3.59,9.48,0.48,11.8,0,1.32,176.58,0.48
Cassava,Root Vegetables,16,38.06,0,0.1,827,0.074,1.8,0,0.27,21,27,271,1.36,14,0,0,1.7,0.28,20.6,0,0.19,59.68,0.34
Cauliflower,Vegetables,44,9.94,0,0.078,154,0.26,4,0.94,0.84,30,88,598,3.84,60,0,0,3.82,0.56,96.4,0,0.16,184.14,0.54
Celeriac,Root Vegetables,43,9.2,0,0.07,218,0.079,1.8,0,0.7,20,115,300,1.5,100,0,0,1.6,0.3,8,0,0.36,88,0.33
Celery,Vegetables,80,5.94,0,0.07,87,0.084,3.2,0.4,0.4,22,48,520,1.38,160,0,0.08,2.68,0.34,6.2,0,0.54,190.86,0.26
Celtuce,Vegetables,39,3.65,0,0.04,93,0,1.7,0,0.55,28,39,330,0.85,11,0,0,0,0.3,19.5,0,0,94.5,0.27
Chard,Vegetables,51,3.74,0,0.179,19,0.03,1.6,0,1.8,81,46,379,1.8,213,0,0,1.1,0.2,30,0,1.89,92.66,0.36
Cherimoya,Fruits,10,17.71,0,0.069,388,0.233,3,5.93,0.27,17,26,287,1.57,7,0,0.66,12.87,0.68,12.6,0,0.27,79.39,0.16
Chives,Herb,184,8.7,0,0.314,186,0.292,5,0,3.2,84,116,592,6.54,6,0,0,3.7,1.46,116.2,0,0.42,181.3,1.12
Cilantro,Herb,67,3.67,0,0.225,23,0.014,2.8,0,1.77,26,48,521,2.13,46,0,0,0.87,0.52,27,0,2.5,92.21,0.5
Clementines,Citrus fruits,30,12.02,0,0.043,245,0,1.7,1.59,0.14,10,21,177,0.85,1,0,5.96,9.18,0.15,48.8,0,0.2,86.58,0.06
Collards,Vegetables,232,5.42,0,0.046,32,0.055,4,0,0.47,27,25,213,3.02,17,0,0,0.46,0.61,35.3,0,2.26,89.62,0.21
Grapefruit,Citrus fruits,12,8.08,0,0.047,32,0.014,1.1,0,0.09,8,8,139,0.63,0,0,0,6.98,0.1,34.4,0,0.13,90.89,0.07
Strawberry,Berries,16,7.68,0,0.048,32,0.015,2,0,0.41,13,24,153,0.67,1,0,0,4.89,0.3,58.8,0,0.29,90.95,0.14
Tangerine   ,Citrus fruits,37,13.34,,,53,0.039,1.8,,0.15,12,,166,0.81,2,,,10.58,0.31,26.7,,0.2,,
Clementine   ,Citrus fruits,37,13.34,,,53,0.039,1.8,,0.15,12,,166,0.81,2,,,10.58,0.31,26.7,,0.2,,
Kumquat   ,Citrus fruits,62,15.9,,,71,0.103,6.5,,0.86,20,,186,1.88,10,,,9.36,0.86,43.9,,0.15,,
Grapefruit   ,Citrus fruits,22,10.66,,,42,0.021,1.6,,0.08,9,,135,0.77,0,,,6.89,0.14,31.2,,0.13,,
Lemon   ,Citrus fruits,26,9.32,,,29,0.039,2.8,,0.6,8,,138,1.1,2,,,2.5,0.3,53,,0.15,,
Lime   ,Citrus fruits,33,10.54,,,30,0.022,2.8,,0.6,6,,102,0.7,2,,,1.69,0.2,29.1,,0.22,,
Orange   ,Citrus fruits,40,11.75,,,47,0.015,2.4,,0.1,10,,181,0.94,0,,,9.35,0.12,53.2,,0.18,,
