Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Taro, cooked",Other starchy vegetables,141,66.36,0.42,4.0,45,27.55,1.57,143,2.8,0.179,0.57,34,88,616,0.24,2.94,0.818,4.3
Fufu,Other starchy vegetables,166,60.65,1.09,11.1,31,33.59,1.5,144,1.66,0.142,0.43,28,58,449,0.3,2.98,0.835,3.1
Poi,Other starchy vegetables,120,68.43,0.43,4.1,46,28.45,1.61,12,2.56,0.185,0.59,35,90,635,0.25,0.22,0.044000000000000004,4.4
"Beet greens, raw",Other dark green vegetables,22,91.02,0.5,30.0,117,4.33,2.2,226,1.5,0.191,2.57,70,41,762,0.38,0.13,0.02,3.7
"Beet greens, cooked",Other dark green vegetables,47,87.57,0.52,21.9,122,4.51,2.3,366,1.88,0.19899999999999998,2.68,73,43,794,0.4,2.86,0.7959999999999999,3.9
"Chard, raw",Other dark green vegetables,19,92.66,1.1,30.0,51,3.74,1.8,213,1.89,0.179,1.8,81,46,379,0.36,0.2,0.03,1.6
"Chard, cooked",Other dark green vegetables,44,89.28,1.15,21.9,54,3.9,1.88,353,2.28,0.18600000000000003,1.88,84,48,395,0.38,2.94,0.8059999999999999,1.7
"Collards, raw",Other dark green vegetables,32,89.62,0.46,35.3,232,5.42,3.02,17,2.26,0.046,0.47,27,25,213,0.21,0.61,0.055,4.0
"Collards, fresh, cooked, no added fat",Other dark green vegetables,34,88.55,0.49,26.5,249,5.81,3.24,143,2.42,0.049,0.5,29,27,228,0.22,0.65,0.059000000000000004,4.3
"Collards, frozen, cooked, no added fat",Other dark green vegetables,36,88.21,0.57,26.3,210,7.08,2.96,166,1.25,0.055,1.12,30,27,250,0.27,0.41,0.06,2.8
"Collards, canned, cooked, no added fat",Other dark green vegetables,19,93.94,0.42,14.6,117,2.79,1.35,336,1.46,0.08199999999999999,1.5,20,21,140,0.23,0.3,0.069,1.3
"Collards, NS as to form, cooked",Other dark green vegetables,57,86.12,0.48,25.7,242,5.65,3.15,149,2.67,0.048,0.49,28,26,222,0.22,3.36,0.8320000000000001,4.2
"Collards, fresh, cooked, fat added, NS as to fat type",Other dark green vegetables,57,86.12,0.48,25.7,242,5.65,3.15,149,2.67,0.048,0.49,28,26,222,0.22,3.36,0.8320000000000001,4.2
"Collards, frozen, cooked, fat added, NS as to fat type",Other dark green vegetables,57,85.97,0.55,25.6,204,6.88,2.88,170,1.51,0.053,1.09,29,26,243,0.26,2.93,0.779,2.7
"Collards, canned, cooked, fat added, NS as to fat type",Other dark green vegetables,41,91.55,0.4,14.2,114,2.71,1.32,336,1.71,0.08,1.46,19,21,136,0.22,2.81,0.785,1.3
"Collards, fresh, cooked with oil",Other dark green vegetables,61,85.76,0.48,25.7,242,5.64,3.14,139,2.72,0.048,0.49,28,26,222,0.22,3.76,0.484,4.2
"Collards, fresh, cooked with butter or margarine",Other dark green vegetables,54,86.47,0.48,25.7,242,5.65,3.16,159,2.62,0.048,0.49,28,27,223,0.22,2.97,1.18,4.2
"Collards, frozen, cooked with oil",Other dark green vegetables,61,85.64,0.55,25.6,203,6.87,2.88,161,1.55,0.053,1.09,29,26,243,0.26,3.3,0.455,2.7
"Collards, frozen, cooked with butter or margarine",Other dark green vegetables,54,86.3,0.55,25.6,204,6.88,2.89,180,1.46,0.053,1.08,29,27,244,0.26,2.57,1.103,2.7
"Collards, canned, cooked with oil",Other dark green vegetables,44,91.23,0.4,14.2,114,2.71,1.31,326,1.76,0.08,1.46,19,20,136,0.22,3.18,0.46299999999999997,1.3
"Collards, canned, cooked with butter or margarine",Other dark green vegetables,37,91.88,0.41,14.2,115,2.72,1.33,345,1.67,0.08,1.46,19,21,137,0.22,2.45,1.107,1.3
"Cress, raw",Other dark green vegetables,32,89.4,4.4,69.0,81,5.5,2.6,14,0.7,0.17,1.3,38,76,606,0.23,0.7,0.023,1.1
"Cress, cooked",Other dark green vegetables,57,85.89,4.58,50.3,85,5.73,2.72,146,1.05,0.177,1.36,40,79,631,0.24,3.46,0.799,1.1
"Dandelion greens, raw",Other dark green vegetables,45,85.6,0.71,35.0,187,9.2,2.7,76,3.44,0.171,3.1,36,66,397,0.41,0.7,0.17,3.5
"Dandelion greens, cooked",Other dark green vegetables,71,81.93,0.74,25.5,195,9.58,2.82,210,3.9,0.17800000000000002,3.23,38,69,414,0.43,3.46,0.9520000000000001,3.6
"Escarole, cooked",Other dark green vegetables,37,91.61,0.22,3.2,45,2.98,1.12,140,0.68,0.084,0.7,13,22,238,0.67,2.71,0.762,2.7
"Greens, fresh, cooked, no added fat",Other dark green vegetables,34,89.1,0.74,46.6,235,5.16,2.97,159,1.66,0.085,1.14,31,43,302,0.3,0.97,0.106,4.2
"Greens, frozen, cooked, no added fat",Other dark green vegetables,34,89.46,0.78,21.2,169,5.75,2.92,146,1.54,0.069,1.09,26,33,194,0.28,0.71,0.098,2.7
"Greens, canned, cooked, no added fat",Other dark green vegetables,19,93.94,0.42,14.6,117,2.79,1.35,336,1.46,0.08199999999999999,1.5,20,21,140,0.23,0.3,0.069,1.3
"Greens, NS as to form, cooked",Other dark green vegetables,54,86.9,0.72,45.3,228,5.02,2.89,164,1.9,0.084,1.12,30,43,294,0.29,3.4,0.8009999999999999,4.1
"Greens, fresh, cooked, fat added",Other dark green vegetables,54,86.9,0.72,45.3,228,5.02,2.89,164,1.9,0.084,1.12,30,43,294,0.29,3.4,0.8009999999999999,4.1
"Greens, frozen, cooked, fat added",Other dark green vegetables,55,87.19,0.76,20.6,164,5.59,2.84,151,1.79,0.067,1.06,25,33,188,0.27,3.23,0.816,2.6
"Greens, canned, cooked, fat added",Other dark green vegetables,41,91.55,0.4,14.2,114,2.71,1.32,336,1.71,0.08,1.46,19,21,136,0.22,2.81,0.785,1.3
"Kale, raw",Other dark green vegetables,35,89.6,0.8,93.4,254,4.42,2.92,53,0.66,0.053,1.6,33,55,348,0.39,1.49,0.17800000000000002,4.1
"Kale, fresh, cooked, no added fat",Other dark green vegetables,38,88.53,0.86,70.1,272,4.74,3.13,181,0.71,0.057,1.72,35,59,373,0.42,1.6,0.191,4.4
"Kale, frozen, cooked, no added fat",Other dark green vegetables,36,89.53,1.12,17.7,150,5.28,2.93,132,1.6,0.067,0.84,25,42,144,0.27,1.21,0.158,2.3
"Kale, canned, cooked, no added fat",Other dark green vegetables,19,93.94,0.42,14.6,117,2.79,1.35,336,1.46,0.08199999999999999,1.5,20,21,140,0.23,0.3,0.069,1.3
"Kale, NS as to form, cooked",Other dark green vegetables,61,86.09,0.83,68.1,265,4.61,3.05,186,1.0,0.055,1.67,34,58,363,0.41,4.28,0.96,4.3
"Kale, fresh, cooked, fat added",Other dark green vegetables,61,86.09,0.83,68.1,265,4.61,3.05,186,1.0,0.055,1.67,34,58,363,0.41,4.28,0.96,4.3
"Kale, frozen, cooked, fat added",Other dark green vegetables,57,87.26,1.08,17.2,146,5.14,2.85,138,1.85,0.065,0.82,24,41,140,0.26,3.71,0.8740000000000001,2.2
"Kale, canned, cooked, fat added",Other dark green vegetables,41,91.55,0.4,14.2,114,2.71,1.32,336,1.71,0.08,1.46,19,21,136,0.22,2.81,0.785,1.3
"Lambsquarter, cooked",Other dark green vegetables,53,86.39,0.6,35.8,250,4.85,3.11,150,2.09,0.191,0.68,22,44,279,0.29,3.21,0.7709999999999999,2.0
"Mustard cabbage, cooked",Other dark green vegetables,38,92.05,1.23,32.8,110,2.28,1.57,199,0.41,0.022000000000000002,0.84,20,39,263,0.2,2.94,0.8029999999999999,1.0
"Mustard greens, raw",Other dark green vegetables,27,90.7,1.32,70.0,115,4.67,2.86,20,2.01,0.165,1.64,32,58,384,0.25,0.42,0.01,3.2
"Mustard greens, fresh, cooked, no added fat",Other dark green vegetables,29,89.71,1.42,52.5,123,5.01,3.07,146,2.15,0.177,1.76,34,62,412,0.27,0.45,0.011000000000000001,3.4
"Mustard greens, frozen, cooked, no added fat",Other dark green vegetables,19,93.52,0.32,13.8,101,3.1,2.26,141,1.35,0.057999999999999996,1.12,13,24,139,0.2,0.25,0.013000000000000001,2.8
"Mustard greens, canned, cooked, no added fat",Other dark green vegetables,19,93.94,0.42,14.6,117,2.79,1.35,336,1.46,0.08199999999999999,1.5,20,21,140,0.23,0.3,0.069,1.3
"Mustard greens, NS as to form, cooked",Other dark green vegetables,52,87.24,1.38,51.0,120,4.87,2.99,152,2.41,0.172,1.71,33,61,400,0.26,3.16,0.7859999999999999,3.3
"Mustard greens, fresh, cooked, fat added",Other dark green vegetables,52,87.24,1.38,51.0,120,4.87,2.99,152,2.41,0.172,1.71,33,61,400,0.26,3.16,0.7859999999999999,3.3
"Mustard greens, frozen, cooked, fat added",Other dark green vegetables,41,91.13,0.31,13.4,98,3.02,2.21,146,1.6,0.055999999999999994,1.09,13,24,135,0.19,2.78,0.733,2.7
"Mustard greens, canned, cooked, fat added",Other dark green vegetables,41,91.55,0.4,14.2,114,2.71,1.32,336,1.71,0.08,1.46,19,21,136,0.22,2.81,0.785,1.3
"Poke greens, cooked",Other dark green vegetables,42,90.26,1.55,79.4,52,3.01,2.24,139,1.12,0.122,1.16,14,32,178,0.18,2.92,0.81,1.5
"Spinach, raw",Spinach,23,91.4,0.42,28.1,99,3.63,2.86,79,2.03,0.13,2.71,79,49,558,0.53,0.39,0.063,2.2
"Spinach, fresh, cooked, no added fat",Spinach,27,89.56,0.49,23.1,116,4.26,3.36,229,2.38,0.152,3.18,93,57,655,0.62,0.46,0.07400000000000001,2.6
"Spinach, frozen, cooked, no added fat",Spinach,34,88.68,0.51,2.2,153,4.79,4.0,212,3.53,0.161,1.95,82,50,301,0.49,0.87,0.157,3.7
"Spinach, canned, cooked, no added fat",Spinach,23,91.78,0.4,13.6,127,3.4,2.81,322,1.94,0.18,2.3,76,44,346,0.46,0.5,0.081,2.4
"Spinach, fresh, cooked with oil",Spinach,56,86.45,0.48,22.4,113,4.13,3.26,222,2.71,0.14800000000000002,3.09,90,56,636,0.6,3.86,0.539,2.5
"Spinach, fresh, cooked with butter or margarine",Spinach,49,87.22,0.48,22.4,114,4.15,3.28,245,2.61,0.14800000000000002,3.09,90,56,636,0.6,3.0,1.301,2.5
"Spinach, NS as to form, cooked",Spinach,53,86.84,0.48,22.4,113,4.14,3.27,234,2.66,0.14800000000000002,3.09,90,56,636,0.6,3.43,0.92,2.5
"Spinach, fresh, cooked, fat added, NS as to fat type",Spinach,53,86.84,0.48,22.4,113,4.14,3.27,234,2.66,0.14800000000000002,3.09,90,56,636,0.6,3.43,0.92,2.5
"Spinach, frozen, cooked, fat added, NS as to fat type",Spinach,55,86.43,0.49,2.1,149,4.65,3.89,216,3.72,0.156,1.9,79,49,293,0.48,3.38,0.873,3.6
"Spinach, canned, cooked, fat added, NS as to fat type",Spinach,45,89.44,0.39,13.2,124,3.31,2.74,322,2.18,0.175,2.24,74,43,336,0.45,3.03,0.802,2.3
"Spinach, frozen, cooked with oil",Spinach,59,86.1,0.49,2.1,148,4.65,3.88,206,3.77,0.156,1.9,79,48,292,0.47,3.75,0.5489999999999999,3.6
"Spinach, frozen, cooked with butter or margarine",Spinach,52,86.76,0.5,2.1,149,4.66,3.9,226,3.68,0.156,1.9,79,49,293,0.48,3.01,1.196,3.6
"Spinach, canned, cooked with oil",Spinach,48,89.11,0.39,13.2,123,3.3,2.73,313,2.22,0.175,2.24,74,43,336,0.45,3.4,0.47700000000000004,2.3
"Spinach, canned, cooked with butter or margarine",Spinach,42,89.77,0.39,13.2,124,3.31,2.74,332,2.13,0.175,2.23,74,43,337,0.45,2.66,1.126,2.3
"Spinach, creamed",Spinach,86,82.57,0.76,14.0,82,6.65,2.48,431,1.58,0.09699999999999999,1.95,57,44,409,0.42,6.03,3.715,1.6
"Taro leaves, cooked",Other dark green vegetables,68,81.99,3.13,37.9,112,6.98,5.19,134,2.42,0.281,2.35,47,63,675,0.43,3.5,0.932,3.9
"Thistle leaves, cooked",Other dark green vegetables,57,85.89,4.58,50.3,85,5.73,2.72,146,1.05,0.177,1.36,40,79,631,0.24,3.46,0.799,1.1
"Turnip greens, fresh, cooked, no added fat",Other dark green vegetables,20,92.92,0.53,27.3,137,4.35,1.14,145,1.87,0.252,0.8,22,29,202,0.14,0.23,0.053,3.5
"Turnip greens, frozen, cooked, no added fat",Other dark green vegetables,29,90.13,0.75,21.7,152,4.96,3.34,131,2.65,0.15,1.93,26,34,223,0.41,0.42,0.099,3.4
"Turnip greens, canned, cooked, no added fat",Other dark green vegetables,19,93.94,0.42,14.6,117,2.79,1.35,336,1.46,0.08199999999999999,1.5,20,21,140,0.23,0.3,0.069,1.3
"Turrnip greens, NS as to form, cooked",Other dark green vegetables,42,90.55,0.51,26.5,133,4.23,1.11,150,2.12,0.245,0.78,21,28,197,0.14,2.76,0.772,3.4
"Turnip greens, fresh, cooked, fat added",Other dark green vegetables,42,90.55,0.51,26.5,133,4.23,1.11,150,2.12,0.245,0.78,21,28,197,0.14,2.76,0.772,3.4
"Turnip greens, frozen, cooked, fat added",Other dark green vegetables,51,87.84,0.73,21.1,148,4.83,3.25,137,2.87,0.145,1.88,25,33,217,0.4,2.94,0.8170000000000001,3.3
"Turnip greens, canned, cooked, fat added",Other dark green vegetables,41,91.55,0.4,14.2,114,2.71,1.32,336,1.71,0.08,1.46,19,21,136,0.22,2.81,0.785,1.3
"Turnip greens, canned, reduced sodium, cooked, no added fat",Other dark green vegetables,19,94.69,0.42,14.7,118,2.81,1.36,29,1.47,0.083,1.51,20,21,141,0.23,0.3,0.07,1.3
"Turnip greens, canned, reduced sodium, cooked, fat added",Other dark green vegetables,41,92.26,0.41,14.3,115,2.73,1.33,38,1.72,0.081,1.47,19,21,137,0.22,2.84,0.7909999999999999,1.3
"Watercress, raw",Other dark green vegetables,11,95.11,0.2,43.0,120,1.29,2.3,41,1.0,0.077,0.2,21,60,330,0.11,0.1,0.027000000000000003,0.5
"Watercress, cooked",Other dark green vegetables,36,91.83,0.21,31.3,125,1.35,2.4,174,1.36,0.08,0.21,22,63,344,0.12,2.83,0.8029999999999999,0.5
"Bitter melon, horseradish, jute, or radish leaves, cooked",Other dark green vegetables,55,86.19,1.01,53.8,41,6.47,3.49,135,1.7,0.195,0.99,91,75,583,0.29,2.73,0.752,1.8
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",Other dark green vegetables,56,86.68,5.3,1.5,32,7.15,2.12,129,1.23,0.032,0.61,46,39,302,0.25,2.87,0.784,1.8
"Peas and carrots, fresh, cooked, no added fat",Other vegetables and combinations,63,82.63,5.41,20.3,30,12.48,3.3,159,0.41,0.115,0.92,23,74,293,0.77,0.33,0.053,4.4
"Peas and carrots, frozen, cooked, no added fat",Other vegetables and combinations,57,84.67,4.23,6.1,30,10.96,2.86,181,0.52,0.09300000000000001,1.02,16,54,151,0.51,0.47,0.084,3.9
"Peas and carrots, canned, cooked, no added fat",Other vegetables and combinations,46,87.62,2.74,3.1,24,8.45,2.56,258,0.56,0.105,0.91,13,46,142,0.46,0.5,0.09,3.2
"Peas and carrots, cooked, NS as to form",Other vegetables and combinations,85,80.45,5.25,19.7,30,12.12,3.21,164,0.71,0.111,0.9,23,72,285,0.75,2.96,0.8029999999999999,4.3
"Peas and carrots, fresh, cooked, fat added",Other vegetables and combinations,85,80.45,5.25,19.7,30,12.12,3.21,164,0.71,0.111,0.9,23,72,285,0.75,2.96,0.8029999999999999,4.3
"Peas and carrots, frozen, cooked, fat added",Other vegetables and combinations,78,82.54,4.11,5.9,29,10.65,2.78,185,0.8,0.091,1.0,16,53,147,0.5,3.0,0.8029999999999999,3.8
"Peas and carrots, canned, cooked, fat added",Other vegetables and combinations,68,85.4,2.66,3.0,24,8.21,2.49,260,0.84,0.102,0.89,13,44,139,0.45,3.02,0.81,3.1
"Pumpkin, canned, cooked",Other red and orange vegetables,56,87.68,3.2,3.7,26,7.86,1.08,15,1.33,0.10400000000000001,1.35,22,34,200,0.17,2.82,0.865,2.8
"Pumpkin, cooked",Other red and orange vegetables,51,88.18,2.87,8.0,22,6.77,1.05,132,1.42,0.132,0.84,13,46,354,0.33,2.83,0.8290000000000001,0.5
"Calabaza, cooked",Other red and orange vegetables,51,88.18,2.87,8.0,22,6.77,1.05,132,1.42,0.132,0.84,13,46,354,0.33,2.83,0.8290000000000001,0.5
"Winter squash, raw",Other red and orange vegetables,26,91.6,2.76,9.0,21,6.5,1.0,1,1.06,0.127,0.8,12,44,340,0.32,0.1,0.052000000000000005,0.5
"Winter squash, cooked, no added fat",Other red and orange vegetables,37,88.94,3.29,9.6,22,8.82,0.89,117,0.12,0.08199999999999999,0.44,13,19,240,0.22,0.35,0.07200000000000001,2.8
"Winter squash, cooked, fat added",Other red and orange vegetables,58,86.69,3.2,9.3,22,8.57,0.87,123,0.41,0.079,0.43,13,19,234,0.21,2.88,0.7909999999999999,2.7
"Sweet potato, NFS",Other red and orange vegetables,109,76.56,5.45,12.1,26,16.82,1.31,188,1.38,0.08900000000000001,0.69,17,31,219,0.19,4.28,1.207,2.4
"Sweet potato, baked, peel eaten, NS as to fat",Other red and orange vegetables,126,71.3,5.93,18.4,37,20.85,2.03,189,1.11,0.183,0.95,26,54,457,0.31,4.1,1.172,3.3
"Sweet potato, baked, peel eaten, no added fat",Other red and orange vegetables,95,74.14,6.21,19.2,38,21.83,2.11,182,0.68,0.192,0.99,28,56,478,0.33,0.15,0.051,3.5
"Sweet potato, baked, peel eaten, fat added, NS as to fat type",Other red and orange vegetables,126,71.3,5.93,18.4,37,20.85,2.03,189,1.11,0.183,0.95,26,54,457,0.31,4.1,1.172,3.3
"Sweet potato, baked, peel eaten, made with oil",Other red and orange vegetables,131,70.78,5.93,18.4,36,20.84,2.02,174,1.18,0.183,0.95,26,53,456,0.31,4.67,0.6679999999999999,3.3
"Sweet potato, baked, peel eaten, made with butter",Other red and orange vegetables,123,71.52,5.94,18.4,37,20.85,2.05,203,0.75,0.183,0.94,26,55,457,0.32,3.81,2.375,3.3
"Sweet potato, baked, peel eaten, made with margarine",Other red and orange vegetables,117,72.25,5.93,18.4,37,20.88,2.02,205,1.46,0.183,0.94,27,54,457,0.31,3.09,0.631,3.3
"Sweet potato, baked, peel not eaten, NS as to fat",Other red and orange vegetables,122,72.44,6.15,18.6,37,19.66,1.92,197,1.16,0.153,0.66,26,52,451,0.3,4.29,1.227,3.1
"Sweet potato, baked, peel not eaten, no added fat",Other red and orange vegetables,90,75.48,6.45,19.5,38,20.63,2.0,190,0.71,0.16,0.69,27,54,473,0.32,0.15,0.052000000000000005,3.3
"Sweet potato, baked, peel not eaten, fat added, NS as to fat type",Other red and orange vegetables,122,72.44,6.15,18.6,37,19.66,1.92,197,1.16,0.153,0.66,26,52,451,0.3,4.29,1.227,3.1
"Sweet potato, baked, peel not eaten, made with oil",Other red and orange vegetables,127,71.9,6.15,18.6,36,19.65,1.91,181,1.23,0.153,0.66,26,51,451,0.3,4.89,0.698,3.1
"Sweet potato, baked, peel not eaten, made with butter",Other red and orange vegetables,119,72.67,6.15,18.6,37,19.65,1.95,212,0.78,0.153,0.66,26,52,452,0.31,3.99,2.4859999999999998,3.1
"Sweet potato, baked, peel not eaten, made with margarine",Other red and orange vegetables,113,73.43,6.15,18.6,37,19.69,1.92,214,1.53,0.153,0.66,26,52,452,0.3,3.23,0.659,3.1
"Sweet potato, boiled, NS as to fat",Other red and orange vegetables,109,76.56,5.45,12.1,26,16.82,1.31,188,1.38,0.08900000000000001,0.69,17,31,219,0.19,4.28,1.207,2.4
"Sweet potato, boiled, no added fat",Other red and orange vegetables,76,79.81,5.72,12.7,27,17.65,1.36,181,0.94,0.094,0.72,18,32,229,0.2,0.14,0.031,2.5
"Sweet potato, boiled, fat added, NS as to fat type",Other red and orange vegetables,109,76.56,5.45,12.1,26,16.82,1.31,188,1.38,0.08900000000000001,0.69,17,31,219,0.19,4.28,1.207,2.4
"Sweet potato, boiled, made with oil",Other red and orange vegetables,114,76.03,5.45,12.1,26,16.81,1.3,173,1.45,0.08900000000000001,0.69,17,30,218,0.19,4.88,0.6779999999999999,2.4
"Sweet potato, boiled, made with butter",Other red and orange vegetables,106,76.79,5.45,12.1,27,16.82,1.34,203,1.0,0.08900000000000001,0.68,17,31,219,0.19,3.98,2.4659999999999997,2.4
"Sweet potato, boiled, made with margarine",Other red and orange vegetables,100,77.56,5.45,12.2,27,16.85,1.31,205,1.75,0.08900000000000001,0.68,17,31,220,0.19,3.22,0.64,2.4
"Sweet potato, candied",Other red and orange vegetables,178,57.48,28.97,9.1,20,37.46,0.99,142,1.03,0.069,0.53,13,23,165,0.15,3.29,0.9059999999999999,1.8
"Sweet potato, canned, NS as to fat",Other red and orange vegetables,123,72.67,4.74,25.0,22,20.05,1.58,213,1.43,0.132,0.85,21,47,297,0.17,4.33,1.216,1.7
"Sweet potato, canned, no added fat",Other red and orange vegetables,91,75.73,4.98,26.3,22,21.04,1.64,207,1.0,0.138,0.89,22,49,311,0.18,0.2,0.040999999999999995,1.8
"Sweet potato, canned, fat added",Other red and orange vegetables,123,72.67,4.74,25.0,22,20.05,1.58,213,1.43,0.132,0.85,21,47,297,0.17,4.33,1.216,1.7
"Sweet potato, casserole or mashed",Other red and orange vegetables,94,78.1,7.61,10.1,42,16.96,1.68,153,0.78,0.075,0.57,16,43,205,0.23,2.36,1.393,1.9
"Sweet potato, yellow, Puerto Rican, cooked",Other red and orange vegetables,76,79.63,5.7,12.7,27,17.61,1.36,271,0.93,0.09300000000000001,0.72,18,32,229,0.2,0.14,0.031,2.5
"Tomatoes, raw",Tomatoes,18,94.52,2.63,13.7,10,3.89,0.88,5,0.54,0.059000000000000004,0.27,11,24,237,0.17,0.2,0.027999999999999997,1.2
"Tomatoes, NS as to form, cooked",Tomatoes,50,89.79,3.18,15.8,13,4.71,1.08,159,1.02,0.071,0.33,13,29,287,0.21,3.41,0.935,1.5
"Tomatoes, fresh, cooked",Tomatoes,50,89.79,3.18,15.8,13,4.71,1.08,159,1.02,0.071,0.33,13,29,287,0.21,3.41,0.935,1.5
"Tomatoes, canned, cooked",Tomatoes,38,92.32,2.48,12.2,32,3.37,0.78,121,0.87,0.05,0.56,10,17,186,0.12,2.79,0.7559999999999999,1.8
"Tomatoes, canned, reduced sodium, cooked",Tomatoes,38,92.32,2.48,12.2,32,3.37,0.78,19,0.87,0.05,0.56,10,17,186,0.12,2.79,0.7559999999999999,1.8
Sun-dried tomatoes,Tomatoes,258,14.56,37.59,39.2,110,55.76,14.11,107,0.01,1.423,9.09,194,356,3427,1.99,2.97,0.426,12.3
"Raw vegetable, NFS",Other vegetables and combinations,27,91.88,2.6,28.0,32,5.77,1.33,47,0.56,0.047,0.38,14,37,283,0.24,0.24,0.054000000000000006,2.0
"Sprouts, NFS",Other vegetables and combinations,30,90.4,4.13,13.2,13,5.94,3.04,6,0.1,0.16399999999999998,0.91,21,54,149,0.41,0.18,0.046,1.8
"Alfalfa sprouts, raw",Other vegetables and combinations,23,92.82,0.2,8.2,32,2.1,3.99,6,0.02,0.157,0.96,27,70,79,0.92,0.69,0.069,1.9
"Artichoke, raw",Other vegetables and combinations,53,84.08,0.99,7.4,21,11.95,2.89,60,0.19,0.127,0.61,42,73,286,0.4,0.34,0.079,5.7
"Asparagus, raw",Other vegetables and combinations,20,93.22,1.88,5.6,24,3.88,2.2,2,1.13,0.18899999999999997,2.14,14,52,202,0.54,0.12,0.04,2.1
"Bean sprouts, raw",Other vegetables and combinations,30,90.4,4.13,13.2,13,5.94,3.04,6,0.1,0.16399999999999998,0.91,21,54,149,0.41,0.18,0.046,1.8
"Green beans, raw",String beans,31,90.32,3.26,12.2,37,6.97,1.83,6,0.41,0.069,1.03,25,38,211,0.24,0.22,0.05,2.7
"Beets, raw",Other vegetables and combinations,43,87.58,6.76,4.9,16,9.56,1.61,78,0.04,0.075,0.8,23,40,325,0.35,0.17,0.027000000000000003,2.8
"Broccoflower, raw",Other vegetables and combinations,31,89.79,3.03,88.1,33,6.09,2.95,23,0.04,0.040999999999999995,0.73,20,62,300,0.64,0.3,0.047,3.2
"Brussels sprouts, raw",Other vegetables and combinations,43,86.0,2.2,85.0,42,8.95,3.38,25,0.88,0.07,1.4,23,69,389,0.42,0.3,0.062,3.8
"Cactus, raw",Other vegetables and combinations,16,94.12,1.15,9.3,164,3.33,1.32,21,0.0,0.052000000000000005,0.59,52,16,257,0.25,0.09,0.016,2.2
"Cauliflower, raw",Other vegetables and combinations,25,92.07,1.91,48.2,22,4.97,1.92,30,0.08,0.039,0.42,15,44,299,0.27,0.28,0.13,2.0
"Celery, raw",Other vegetables and combinations,14,95.43,1.34,3.1,40,2.97,0.69,80,0.27,0.035,0.2,11,24,260,0.13,0.17,0.042,1.6
"Fennel bulb, raw",Other vegetables and combinations,31,90.21,3.93,12.0,49,7.3,1.24,52,0.58,0.066,0.73,17,50,414,0.2,0.2,0.09,3.1
"Corn, raw",Corn,86,76.05,6.26,6.8,2,18.7,3.27,15,0.07,0.054000000000000006,0.52,37,89,270,0.46,1.35,0.325,2.0
"Cucumber, raw",Other vegetables and combinations,15,95.23,1.67,2.8,16,3.63,0.65,2,0.03,0.040999999999999995,0.28,13,24,147,0.2,0.11,0.037000000000000005,0.5
"Eggplant, raw",Other vegetables and combinations,25,92.3,3.53,2.2,9,5.88,0.98,2,0.3,0.081,0.23,14,24,229,0.16,0.18,0.034,3.0
"Jicama, raw",Other vegetables and combinations,38,90.07,1.8,20.2,12,8.82,0.72,4,0.46,0.048,0.6,12,18,150,0.16,0.09,0.021,4.9
"Kohlrabi, raw",Other vegetables and combinations,27,91.0,2.6,62.0,24,6.2,1.7,20,0.48,0.129,0.4,19,46,350,0.03,0.1,0.013000000000000001,3.6
"Mushrooms, raw",Other vegetables and combinations,22,92.45,1.98,2.1,3,3.26,3.09,5,0.01,0.318,0.5,9,86,318,0.52,0.34,0.05,1.0
"Green peas, raw",Other starchy vegetables,81,78.86,5.67,40.0,25,14.45,5.42,5,0.13,0.17600000000000002,1.47,33,108,244,1.24,0.4,0.071,5.7
"Pepper, poblano, raw",Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.057999999999999996,1.7
"Pepper, Serrano, raw",Other vegetables and combinations,32,90.25,3.83,44.9,11,6.7,1.74,10,0.69,0.129,0.86,22,40,305,0.26,0.44,0.059000000000000004,3.7
"Pepper, raw, NFS",Other vegetables and combinations,22,93.3,3.03,97.0,9,5.13,0.91,3,0.79,0.049,0.37,11,22,188,0.17,0.22,0.057999999999999996,1.8
"Pepper, sweet, green, raw",Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.057999999999999996,1.7
"Pepper, sweet, red, raw",Other red and orange vegetables,26,92.21,4.2,127.7,7,6.03,0.99,4,1.58,0.017,0.43,12,26,211,0.25,0.3,0.059000000000000004,2.1
"Pepper, banana, raw",Other vegetables and combinations,27,91.81,1.95,82.7,14,5.35,1.66,13,0.69,0.094,0.46,17,32,256,0.25,0.45,0.048,3.4
"Radish, raw",Other vegetables and combinations,16,95.27,1.86,14.8,25,3.4,0.68,39,0.0,0.05,0.34,10,20,233,0.28,0.1,0.032,1.6
"Rutabaga, raw",Other vegetables and combinations,37,89.43,4.46,25.0,43,8.62,1.08,12,0.3,0.032,0.44,20,53,305,0.24,0.16,0.027000000000000003,2.3
