Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Protein (g),Sodium (mg),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
"Peanuts, dry roasted, unsalted",Nuts and seeds,587,1.81,4.9,0.0,58,21.26,24.35,6,4.93,0.428,1.58,178,363,634,2.77,49.66,7.723,8.4
"Peanuts, honey roasted",Nuts and seeds,572,1.54,16.14,0.0,49,30.02,20.7,349,4.54,0.365,1.35,151,309,539,2.36,45.25,6.975,7.1
"Pecans, NFS",Nuts and seeds,691,3.52,3.97,1.1,70,13.86,9.17,0,1.4,1.2,2.53,121,277,410,4.53,71.97,6.18,9.6
"Pecans, unroasted",Nuts and seeds,691,3.52,3.97,1.1,70,13.86,9.17,0,1.4,1.2,2.53,121,277,410,4.53,71.97,6.18,9.6
"Pecans, salted",Nuts and seeds,690,3.38,3.81,1.1,68,13.31,8.81,383,1.69,1.1520000000000001,2.44,116,266,394,4.35,72.09,6.341,9.2
"Pecans, unsalted",Nuts and seeds,697,3.41,3.85,1.1,68,13.44,8.9,0,1.71,1.1640000000000001,2.46,117,269,398,4.39,72.81,6.405,9.3
"Pecans, honey roasted",Nuts and seeds,637,2.38,24.41,0.7,48,31.03,6.17,383,2.1,0.809,1.73,82,186,277,3.05,58.43,5.515,6.5
Pine nuts,Nuts and seeds,673,2.28,3.59,0.8,16,13.08,13.69,2,9.33,1.324,5.53,251,575,597,6.45,68.37,4.899,3.7
"Pistachio nuts, NFS",Nuts and seeds,572,1.85,7.74,3.0,107,28.28,21.05,6,2.17,1.2930000000000001,4.03,109,469,1007,2.34,45.82,5.645,10.3
"Pistachio nuts, salted",Nuts and seeds,576,1.78,7.43,2.9,103,27.16,20.22,389,2.43,1.242,3.88,105,450,967,2.25,46.98,5.827999999999999,9.9
"Pistachio nuts, lightly salted",Nuts and seeds,579,1.79,7.47,2.9,104,27.3,20.32,198,2.44,1.248,3.9,105,453,972,2.26,47.21,5.857,9.9
"Pistachio nuts, unsalted",Nuts and seeds,581,1.79,7.51,2.9,104,27.43,20.42,6,2.46,1.254,3.91,106,455,977,2.27,47.44,5.886,10.0
"Walnuts, excluding honey roasted",Nuts and seeds,654,4.07,2.61,1.3,98,13.71,15.23,2,0.7,1.5859999999999999,2.91,158,346,441,3.09,65.21,6.126,6.7
"Walnuts, honey roasted",Nuts and seeds,612,2.75,23.5,0.9,67,30.93,10.25,385,1.63,1.069,1.99,106,233,297,2.08,53.87,5.479,4.5
Almond butter,Nuts and seeds,614,1.64,6.27,0.0,347,18.82,20.96,227,24.21,0.934,3.49,279,508,748,3.29,55.5,6.55,10.3
"Almond butter, lower sodium",Nuts and seeds,614,1.64,6.27,0.0,347,18.82,20.96,115,24.21,0.934,3.49,279,508,748,3.29,55.5,6.55,10.3
Almond paste,Nuts and seeds,458,14.08,36.25,0.1,172,47.81,9.0,9,13.54,0.45399999999999996,1.6,130,258,314,1.48,27.74,2.6289999999999996,4.8
Cashew butter,Nuts and seeds,609,2.34,9.09,0.0,61,30.3,12.12,295,5.08,1.758,4.91,206,388,447,4.43,53.03,10.606,3.0
Peanut butter,Nuts and seeds,597,1.18,10.5,0.0,49,22.3,22.5,429,9.11,0.42,1.73,169,339,564,2.54,51.1,10.1,4.8
"Peanut butter, lower sodium",Nuts and seeds,598,1.23,10.49,0.0,49,22.31,22.21,17,9.1,0.42200000000000004,1.74,168,335,558,2.51,51.36,10.325,5.0
"Peanut butter, lower sodium and lower sugar",Nuts and seeds,624,1.58,8.42,0.0,60,18.27,23.5,154,8.58,0.591,2.29,166,342,688,3.01,53.12,10.272,6.4
"Peanut butter, lower sugar",Nuts and seeds,650,1.93,6.35,0.0,72,14.23,24.8,292,8.06,0.76,2.84,164,350,818,3.51,54.89,10.22,7.8
"Peanut butter, reduced fat",Nuts and seeds,520,1.2,9.28,0.0,35,35.65,25.9,540,9.04,0.58,1.9,170,369,669,2.8,34.0,5.76,5.2
"Peanut butter, vitamin and mineral fortified",Nuts and seeds,591,1.47,10.47,0.0,43,18.75,25.72,420,43.2,1.64,16.6,355,368,667,14.4,50.81,10.125,5.6
Peanut butter and jelly,Nuts and seeds,432,15.48,30.86,0.4,28,46.12,11.32,230,4.56,0.215,0.96,88,172,309,1.28,25.56,5.052,2.9
Peanut butter and chocolate spread,Nuts and seeds,497,9.09,34.1,0.0,28,42.75,11.8,306,5.34,0.31,1.58,95,209,380,1.42,34.35,7.813,2.8
"Trail mix, NFS",Nuts and seeds,452,8.8,36.48,0.9,62,51.12,10.9,134,5.5,0.637,2.14,112,298,523,1.99,26.74,3.69,6.5
Trail mix with nuts,Nuts and seeds,600,1.97,4.1,0.6,88,21.18,20.06,252,9.89,1.1059999999999999,3.2,205,543,649,3.75,52.82,7.287999999999999,8.1
Trail mix with nuts and fruit,Nuts and seeds,452,8.8,36.48,0.9,62,51.12,10.9,134,5.5,0.637,2.14,112,298,523,1.99,26.74,3.69,6.5
Trail mix with chocolate,Nuts and seeds,501,5.21,34.85,0.8,80,48.32,11.65,146,5.35,0.6859999999999999,2.16,119,324,490,2.36,32.17,7.006,6.0
"Trail mix with pretzels, cereal, or granola",Nuts and seeds,473,5.57,19.32,1.2,60,50.65,13.09,444,5.38,0.639,3.04,115,319,480,2.21,27.58,3.802,6.1
"Pumpkin seeds, NFS",Nuts and seeds,574,2.03,1.29,1.8,52,14.71,29.84,18,0.56,1.275,8.07,550,1174,788,7.64,49.05,8.544,6.5
"Pumpkin seeds, salted",Nuts and seeds,567,2.01,1.27,1.8,52,14.54,29.49,477,0.55,1.26,7.97,543,1160,779,7.55,48.47,8.443,6.4
