Food_description,Food_type,Energy (kcal),Protein (g),Carbohydrate (g),Sugars(g),"Fiber, total dietary (g)",Total Fat (g),Saturated_fat,Cholesterol (mg),Vitamin C (mg),Vitamin_D (mcg),Vitamin_E (mg),Calcium (mg),Magnesium (mg),Iron (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Copper (mg),Phosphorus (mg),Water (g),Zinc (mg)
Chard ,Other dark green vegetables,19,1.8,3.74,1.1,1.6,0.2,0.03,0,30,0,1.89,51,81,1.8,379,213,0,0.179,46,92.66,0.36
Collards ,Other dark green vegetables,32,3.02,5.42,0.46,4,0.61,0.055,0,35.3,0,2.26,232,27,0.47,213,17,0,0.046,25,89.62,0.21
Cress ,Other dark green vegetables,32,2.6,5.5,4.4,1.1,0.7,0.023,0,69,0,0.7,81,38,1.3,606,14,0,0.17,76,89.4,0.23
Dandelion greens ,Other dark green vegetables,45,2.7,9.2,0.71,3.5,0.7,0.17,0,35,0,3.44,187,36,3.1,397,76,0,0.171,66,85.6,0.41
Beet greens ,Other dark green vegetables,22,2.2,4.33,0.5,3.7,0.13,0.02,0,30,0,1.5,117,70,2.57,762,226,0,0.191,41,91.02,0.38
Kale ,Other dark green vegetables,35,2.92,4.42,0.8,4.1,1.49,0.178,0,93.4,0,0.66,254,33,1.6,348,53,0,0.053,55,89.6,0.39
Watercress ,Other dark green vegetables,11,2.3,1.29,0.2,0.5,0.1,0.027,0,43,0,1,120,21,0.2,330,41,0,0.077,60,95.11,0.11
Pepper sweet red ,Other red and orange vegetables,26,0.99,6.03,4.2,2.1,0.3,0.059,0,127.7,0,1.58,7,12,0.43,211,4,0,0.017,26,92.21,0.25
Winter squash ,Other red and orange vegetables,26,1,6.5,2.76,0.5,0.1,0.052,0,9,0,1.06,21,12,0.8,340,1,0,0.127,44,91.6,0.32
Fufu,Other starchy vegetables,166,1.5,33.59,1.09,3.1,2.98,0.835,2,11.1,0,1.66,31,28,0.43,449,144,0,0.142,58,60.65,0.3
Poi,Other starchy vegetables,120,1.61,28.45,0.43,4.4,0.22,0.044,0,4.1,0,2.56,46,35,0.59,635,12,0,0.185,90,68.43,0.25
Water Chesnut,Other starchy vegetables,78,1.38,19.22,3.84,3.9,0.09,0.025,0,2,0,0.78,6,8,1.36,184,12,0,0.156,30,78.78,0.59
Green peas ,Other starchy vegetables,81,5.42,14.45,5.67,5.7,0.4,0.071,0,40,0,0.13,25,33,1.47,244,5,0,0.176,108,78.86,1.24
Ripe plantain ,Other starchy vegetables,122,1.3,31.89,17.51,1.7,0.35,0,0,18.4,0,0,3,36,0.55,487,4,0,0.074,32,65.2,0.19
Artichoke ,Other vegetables and combinations,53,2.89,11.95,0.99,5.7,0.34,0.079,0,7.4,0,0.19,21,42,0.61,286,60,0,0.127,73,84.08,0.4
Asparagus ,Other vegetables and combinations,20,2.2,3.88,1.88,2.1,0.12,0.04,0,5.6,0,1.13,24,14,2.14,202,2,0,0.189,52,93.22,0.54
Bean sprouts ,Other vegetables and combinations,30,3.04,5.94,4.13,1.8,0.18,0.046,0,13.2,0,0.1,13,21,0.91,149,6,0,0.164,54,90.4,0.41
Beets ,Other vegetables and combinations,43,1.61,9.56,6.76,2.8,0.17,0.027,0,4.9,0,0.04,16,23,0.8,325,78,0,0.075,40,87.58,0.35
Broccoflower ,Other vegetables and combinations,31,2.95,6.09,3.03,3.2,0.3,0.047,0,88.1,0,0.04,33,20,0.73,300,23,0,0.041,62,89.79,0.64
Alfalfa sprouts ,Other vegetables and combinations,23,3.99,2.1,0.2,1.9,0.69,0.069,0,8.2,0,0.02,32,27,0.96,79,6,0,0.157,70,92.82,0.92
Brussels sprouts ,Other vegetables and combinations,43,3.38,8.95,2.2,3.8,0.3,0.062,0,85,0,0.88,42,23,1.4,389,25,0,0.07,69,86,0.42
Cauliflower ,Other vegetables and combinations,25,1.92,4.97,1.91,2,0.28,0.13,0,48.2,0,0.08,22,15,0.42,299,30,0,0.039,44,92.07,0.27
Celery ,Other vegetables and combinations,14,0.69,2.97,1.34,1.6,0.17,0.042,0,3.1,0,0.27,40,11,0.2,260,80,0,0.035,24,95.43,0.13
Fennel bulb ,Other vegetables and combinations,31,1.24,7.3,3.93,3.1,0.2,0.09,0,12,0,0.58,49,17,0.73,414,52,0,0.066,50,90.21,0.2
